http://localhost:8080/ - accessed by ip: [::1]:64176, date: 2024-03-19 19:34:24, status: Success
http://localhost:8080/ - accessed by ip: [::1]:64178, date: 2024-03-19 19:34:26, status: Success
http://localhost:8080/form - accessed by ip: [::1]:64179, date: 2024-03-19 19:34:31, status: Success
http://localhost:8080/form - accessed by ip: [::1]:64180, date: 2024-03-19 19:34:36, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64181, date: 2024-03-19 19:34:39, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64182, date: 2024-03-19 19:34:42, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64190, date: 2024-03-19 19:35:42, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64192, date: 2024-03-19 19:35:44, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64309, date: 2024-03-19 19:42:42, status: Success
http://localhost:8080/hello - accessed by ip: [::1]:64311, date: 2024-03-19 19:42:45, status: Success
